basic_type,basic_title_url,basic_cover_url,basic_title,basic_creator,special_organization1,basic_cycle,basic_date_time,basic_description,basic_keyword
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35676,https://img.cdn.bjadks.com/images/CQSASTG0802103247001.jpg,中华和谐文化的底蕴,张立文,历史长廊,5,2017/11/30,中华和谐文化是中华民族的心和魂、根和体，她是中华民族团结奋进的精神支柱，繁荣昌盛的智慧源泉。中华和谐文化深邃的内涵，包括“和实生物”的宇宙观、以“和为贵”的价值观、“三不朽”的人生观、“仁民爱物”的道德观、“和也者，天下之大道”的国际观。建设共有精神家园是提升核心价值理念、道德情操和建设和谐社会的需要，是增强民族凝聚力、向心力、亲和力，以及增进中华文化认同感、归属感、安顿感的需要。,中华和谐文化的底蕴（一）;中华和谐文化的底蕴（二）;中华和谐文化的底蕴（三）;中华和谐文化的底蕴（四）;中华和谐文化的底蕴（五）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35706,https://img.cdn.bjadks.com/images/CQSASTG0726161811012.jpg,试解明史研究中的悖论,刘志琴,历史长廊,4,2017/11/30,观察当今的明史研究，会发现种种令人费解的相互矛盾的现象，可称之为悖论，主要有四点。一、中央集权制度的极度发展与全面失控的后果；二、拥有世界上最多的白银，却发展不出资本主义；三、建立世界上最强大的舰队和严厉的海禁政策；四、推行孝治天下，提倡愚忠，却落得非君思潮的兴起。,试解明史研究中的悖论（一）;试解明史研究中的悖论（二）;试解明史研究中的悖论（三）;试解明史研究中的悖论（四）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35733,https://img.cdn.bjadks.com/images/CQSASTG0726161448031.jpg,从居延到黑城,徐苹芳,历史长廊,3,2017/11/30,中国西部开发可追溯至汉代。以居延为例，汉武帝为保护河西走廊开辟了居延防线。但据史料记载自东汉永元以后，屯垦破坏了植被，居延沦为废墟。直至西夏王朝重新经营此地，居延才迎来了第二个繁盛时期，随后又是无限开发导致环境进一步恶化。从居延到黑城的开发历史，给我们提供了中国西部开发的历史经验。,中国西部开发中的历史经验一瞥（上）;中国西部开发中的历史经验一瞥（中）;中国西部开发中的历史经验一瞥（下）
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=36241,https://img.cdn.bjadks.com/images/CRSISTG0514161128028.jpg,中国戏剧历史,宫宝荣,历史长廊,3,2018/5/24,本课程主要讲述了中国戏剧历史。中国戏剧主要包括戏曲和话剧，戏曲是中国固有的传统戏剧，话剧则是20世纪引进的西方戏剧形式。中国古典戏曲是中华民族文化的一个重要组成部分，她以富于艺术魅力的表演形式，为历代人民群众所喜闻乐见。而且，在世界剧坛上也占有独特的位置，与古希腊悲喜剧、印度梵剧并称为世界三大古剧。,中国戏剧的现代化过程;外来文化影响下的“新戏”;中国戏剧在“吸收外来”中成长
学术报告,http://www.wsbgt.com/Play?catalogId=66&courseId=35728,https://img.cdn.bjadks.com/images/CQSASTG0726161448043.jpg,中国古代的本命禁忌,张帆,历史长廊,4,2017/11/30,本期讲座内容：一、“本命”的概念；二、广义本命禁忌：1.五行禁忌；2.方位禁忌；3.属相禁忌；三、狭义本命禁忌：1.五行禁忌；2.日期禁忌；3.月份禁忌；4、年份禁忌；四、宋元时期的“本命日”；五、本命禁忌兴衰原因的探讨。,中国古代的本命禁忌（一）;中国古代的本命禁忌（二）;中国古代的本命禁忌（三）;中国古代的本命禁忌（四）
学术报告,http://www.wsbgt.com/Play?catalogId=85&courseId=35654,https://img.cdn.bjadks.com/images/CQSASTG0802103247082.jpg,儒道互补与人生,牟钟鉴,国学,4,2017/11/30,本次讲座主要介绍：一、两位大师的名言与生命的优化；二、儒、道的核心理念与著名命题；三、儒道并行又互补是中华思想文化深层的基本脉络；四、儒道互补是一种人生智慧；五、儒道互补是一种行为艺术；六、我们可以把儒学视为一种人本的社会学，把道家视为一种高级的心理学。,儒道互补与人生（一）;儒道互补与人生（二）;儒道互补与人生（三）;儒道互补与人生（四）
学术报告,http://www.wsbgt.com/Play?catalogId=84&courseId=35760,https://img.cdn.bjadks.com/images/CQSASTG0726161343020.jpg,书戏——阅读与被阅读,吕敬人,个人修养,3,2017/11/30,今天的信息传达已经进入了一个多媒体时代，人们几乎沉浸在可以称之为屏幕载体的阅读环境。数码技术已经在视觉载体中占有了一个非常重要的位置，书还有没有存在的价值？书具有与电子载体全然不同的阅读感受，不依赖任何器物，户内户外随时随地可以轻松的阅读，纸张给我们带来视觉、嗅觉、触觉、听觉、味觉五感之愉悦的想象舞台。纸张语言的丰富，可供书籍设计师创造千变万化的纸张载体，体现无穷无尽的艺术魅力，让读者进入阅读的美妙意境。,书戏——阅读与被阅读（上）;书戏——阅读与被阅读（中）;书戏——阅读与被阅读（下）
学术报告,http://www.wsbgt.com/Play?catalogId=84&courseId=35716,https://img.cdn.bjadks.com/images/CQSASTG0726161448090.jpg,李大钊爱国主义思想的特点与中国共产党的创建,朱成甲,个人修养,3,2017/11/30,本次讲座主要演讲以下几方面的内容：一、立志“深研政理”，是李大钊爱国主义思想的根本特点；二、李大钊以“深研政理”为特点的爱国主义，是中国现代爱国主义的新阶段；三、可歌可泣的探索与“登高一呼群山应”；四、李大钊的思想理论遗产，是党和人民的宝贵财富。,李大钊爱国主义思想的特点与中国共产党的创建（上）;李大钊爱国主义思想的特点与中国共产党的创建（中）;李大钊爱国主义思想的特点与中国共产党的创建（下）
学术报告,http://www.wsbgt.com/Play?catalogId=86&courseId=35763,https://img.cdn.bjadks.com/images/CQSASTG0726161343009.jpg,中华典籍与非物质文化遗产,李致忠,华夏文明,4,2017/11/30,本期讲座主要演讲以下几方面的内容：一、雕版印刷术与活字印刷术的发明；二、各时代典籍，如唐《金刚经》、宋刻本《忘忧清乐集》均承载着非物质文化遗产；三、中华典籍记载着非物质文化遗产，如《齐民要术》中关于造纸、造墨、古籍修复的记载、《梦溪笔谈》中关于泥活字印刷术的记载等；四、关于非遗的申报。,中华典籍与非物质文化遗产（一）;中华典籍与非物质文化遗产（二）;中华典籍与非物质文化遗产（三）;中华典籍与非物质文化遗产（四）
学术报告,http://www.wsbgt.com/Play?catalogId=86&courseId=35764,https://img.cdn.bjadks.com/images/CQSASTG0726161343004.jpg,中国古籍的起源及其形制的演变,李致忠,华夏文明,5,2017/11/30,书，是物化了的思维，凝固了的意识，作为人类思想和智慧的载体，它在历史的长河中熠熠生辉。博大精深的中华文化积淀着中华民族最深沉的精神追求，是我们民族生生不息、发展壮大的丰厚土壤。中国古代一直秉承“国有史，郡有志，家有谱”的记录传统。几千年文明留下了卷帙浩繁的文献典籍，蕴含着中华民族的历史记忆、思想智慧和知识体系，成为中华文化传承最重要的载体之一。,中国古籍的起源及其形制的演变（一）;中国古籍的起源及其形制的演变（二）;中国古籍的起源及其形制的演变（三）;中国古籍的起源及其形制的演变（四）;中国古籍的起源及其形制的演变（五）
