person_id,label_name,province,city,lon_lat
548,董笃行,河南省,洛阳市,"112.45429,34.618451"
549,瓦尔达,,,
550,胡全才,山西省,太原市,"112.550617,37.870675"
551,裘行简,江西省,南城县,"116.63704,27.569678"
552,胡有,,,
553,贾壮,河南省,开封市,"114.307582,34.797149"
554,胡季堂,河南省,开封市,"114.307582,34.797149"
555,邹一桂,江苏省,常州市,"119.974454,31.810076"
556,雷滏,福建省,长汀县,"116.357581,25.833531"
557,靳辅,,,
558,(马佳)图海,黑龙江省,宁安市,"129.482857,44.340667"
559,(觉罗)满保,,,
560,熊赐履,湖北省,安陆市,"113.689052,31.255686"
561,(乌雅)硕色,,,
562,(富察)福敏,,,
563,胡长龄,江苏省,南京市,"118.796877,32.060255"
564,胡高望,浙江省,杭州市,"120.15507,30.274085"
565,胡贵,福建省,泉州市,"118.675868,24.873888"
566,田文镜,辽宁省,沈阳市,"123.431472,41.805699"
567,胡,浙江省,杭州市,"120.15507,30.274085"
568,田雄,,,"116.407413,39.904214"
569,田凤仪,河南省,安阳市,"114.392756,36.097593"
570,范文程,,,
571,田懋,山西省,晋城市,"112.851767,35.49087"
572,范宜恒,,,
573,范承勋,,,
574,申甫,江苏省,扬州市,"119.412966,32.39421"
575,(颜扎)申保,,,
576,申朝纪,,,
577,赵申乔,江苏省,常州市,"119.974454,31.810076"
578,范承谟,,,
579,白广恩,,,"116.407413,39.904214"
580,范建丰,,,
581,范时纪,,,
582,白潢,,,
583,白瀛,山西省,太原市,"112.550617,37.870675"
584,范时崇,,,
585,赵弘灿,甘肃省,兰州市,"103.834377,36.061255"
586,石文晟,,,
587,范时捷,,,
588,范时绶,,,
589,范时绎,,,
590,赵廷臣,,,
591,石文焯,,,
592,石琳,,,
593,范璨,浙江省,嘉兴市,"120.755487,30.746129"
594,赵怀玉,,,
595,石礼哈,,,
596,(纳喇)齐苏勒,,,
597,(觉罗)石麟,,,
598,苗国琮,,,
599,(拜都)伊江阿,,,
600,(爱新觉罗)伊冲阿,,,
601,刘兆麒,北京市,,"116.407413,39.904214"
602,(觉罗)伊里布,,,
603,刘吴龙,江西省,南城县,"116.63704,27.569678"
604,(乌勒甲特)伊昌阿,,,
605,(索绰络)英和,,,
606,伊星阿,,,
607,(伊尔根觉罗)伊桑阿,,,
608,(赫舍哩)英桂,,,
609,刘武元,,,
610,刘,云南省,,
611,刘愈奇,山西省,大同市,"113.300126,40.076815"
612,刘楗,北京市,,"116.407413,39.904214"
613,刘龙光,山东省,青州市,"118.479622,36.68444"
614,(爱新觉罗)德沛,,,
615,(伍弥特)德楞泰,,,
616,慕天颜,甘肃省,平凉市,"106.665106,35.542686"
617,蒋林,广西壮族自治区,桂林市,"110.290131,25.273444"
618,蒋炳,江苏省,常州市,"119.974454,31.810076"
619,(瓜尔佳)英海,,,
620,(萨哈尔察)英善,,,
621,蒋陈锡,江苏省,苏州市,"120.585297,31.298974"
622,(兴佳)伊勒东阿,,,
623,蔡士英,,,
624,(佟佳)伊勒慎,,,
625,(马佳)英廉,,,
626,伊勒图,,,
627,卫周祚,山西省,临汾市,"111.51888,36.088067"
628,(萨尔图)英翰,,,
629,伊常阿,,,
630,卫哲治,河南省,沁阳市,"112.950514,35.087546"
631,(觉罗)伊图,,,
632,(觉罗)郎丘,,,
633,郑大进,广东省,潮州市,"116.622597,23.656972"
634,邓廷桢,江苏省,南京市,"118.796877,32.060255"
635,(佟佳)伊龄阿,,,
636,钱楷,浙江省,嘉兴市,"120.755487,30.746129"
637,郎廷佐,,,
638,(刘)郎赛,,,
639,(觉罗)伍拉纳,,,
640,伍长华,江苏省,南京市,"118.796877,32.060255"
641,钱载,浙江省,嘉兴市,"120.755487,30.746129"
642,(伍弥)泰,,,
643,任克溥,山东省,聊城市,"115.985371,36.456704"
644,(呢玛察)韦陀保,,,
645,钱樾,浙江省,嘉兴市,"120.755487,30.746129"
